ind,pop,score
NA11892.DG,CEU.DG,-1.0208930000000005
NA11843.DG,CEU.DG,-2.027112
NA12775.DG,CEU.DG,-1.8282999999999996
NA12776.DG,CEU.DG,-2.2377
NA12155.DG,CEU.DG,-0.8741089999999998
NA12156.DG,CEU.DG,0.6773509999999999
NA12287.DG,CEU.DG,-0.5821539999999997
NA12340.DG,CEU.DG,0.2103779999999999
NA12872.DG,CEU.DG,-0.80716
NA12043.DG,CEU.DG,-2.878717
NA12006.DG,CEU.DG,-0.8984100000000006
NA12873.DG,CEU.DG,-0.944256
NA12283.DG,CEU.DG,-1.1239329999999996
NA12286.DG,CEU.DG,-0.0372380000000003
NA11831.DG,CEU.DG,0.921928
NA11830.DG,CEU.DG,-0.3551640000000006
NA12154.DG,CEU.DG,-1.2656809999999998
NA12144.DG,CEU.DG,-0.5998209999999995
NA12275.DG,CEU.DG,-0.3777649999999997
NA12249.DG,CEU.DG,0.1319439999999997
NA10847.DG,CEU.DG,-0.5729999999999997
NA07357.DG,CEU.DG,-0.8594830000000003
NA11840.DG,CEU.DG,-0.8379500000000011
NA11832.DG,CEU.DG,0.7949449999999998
NA12004.DG,CEU.DG,0.733387
NA12005.DG,CEU.DG,-1.0844940000000003
NA11992.DG,CEU.DG,0.2616619999999998
NA12878.DG,CEU.DG,-0.543857
NA11881.DG,CEU.DG,-1.263226
NA12874.DG,CEU.DG,0.1193149999999994
NA12400.DG,CEU.DG,-1.0134109999999998
NA06994.DG,CEU.DG,-0.9090360000000008
NA06985.DG,CEU.DG,1.1558279999999994
NA06986.DG,CEU.DG,-0.3437490000000003
NA07056.DG,CEU.DG,-0.5511079999999997
NA07347.DG,CEU.DG,-0.3299060000000002
NA12829.DG,CEU.DG,0.2036560000000002
NA12830.DG,CEU.DG,-0.7160770000000003
NA11919.DG,CEU.DG,0.5680109999999992
NA11920.DG,CEU.DG,-0.4551630000000009
NA11930.DG,CEU.DG,-1.963561
NA12342.DG,CEU.DG,-0.5458640000000003
NA12341.DG,CEU.DG,-1.649264
NA11931.DG,CEU.DG,-0.1357639999999995
NA12889.DG,CEU.DG,0.5250059999999996
NA12348.DG,CEU.DG,-0.1916859999999998
NA12347.DG,CEU.DG,-1.875726000000001
NA12890.DG,CEU.DG,-0.6435580000000001
NA12842.DG,CEU.DG,-1.7043720000000002
NA12843.DG,CEU.DG,-0.370391
NA11933.DG,CEU.DG,-0.851703000000001
NA11932.DG,CEU.DG,-0.5473929999999996
NA12044.DG,CEU.DG,-0.4234830000000003
NA12045.DG,CEU.DG,-0.767371
NA07051.DG,CEU.DG,-0.4654020000000001
NA07048.DG,CEU.DG,-2.3911000000000007
NA07000.DG,CEU.DG,0.2017519999999992
NA07037.DG,CEU.DG,-0.3516960000000007
NA06989.DG,CEU.DG,-1.0380880000000006
NA12413.DG,CEU.DG,0.0887889999999996
NA11994.DG,CEU.DG,-0.2555400000000002
NA12282.DG,CEU.DG,-0.4384850000000005
NA12234.DG,CEU.DG,-0.6508630000000004
NA12003.DG,CEU.DG,-1.261026000000001
NA12812.DG,CEU.DG,-0.6567650000000003
NA11829.DG,CEU.DG,-0.5337150000000015
NA10851.DG,CEU.DG,-0.1521680000000008
NA12828.DG,CEU.DG,-0.8219760000000003
NA12827.DG,CEU.DG,-1.3062810000000002
NA11894.DG,CEU.DG,0.0080099999999999
NA12399.DG,CEU.DG,0.4869310000000002
NA12383.DG,CEU.DG,0.0647529999999999
NA11995.DG,CEU.DG,-0.9085390000000008
NA11918.DG,CEU.DG,-0.8545489999999998
NA12763.DG,CEU.DG,0.57927
NA12777.DG,CEU.DG,-0.6870600000000002
NA12778.DG,CEU.DG,-2.7161720000000003
NA12760.DG,CEU.DG,0.6486439999999998
NA12749.DG,CEU.DG,-0.8906990000000001
NA12748.DG,CEU.DG,-0.4536160000000001
NA12716.DG,CEU.DG,0.0116170000000001
NA12546.DG,CEU.DG,-1.56536
NA12761.DG,CEU.DG,-1.101557
NA12762.DG,CEU.DG,-0.3784169999999999
NA12814.DG,CEU.DG,-0.7958880000000005
NA12813.DG,CEU.DG,-0.2530950000000002
NA12414.DG,CEU.DG,-1.2581390000000003
NA12815.DG,CEU.DG,-1.639259
NA06984.DG,CEU.DG,-0.6592290000000005
NA11893.DG,CEU.DG,-0.7776810000000002
NA12046.DG,CEU.DG,-1.837162
